category,rule,do_pattern,do_code,dont_pattern,dont_code,severity,source
Accessibility,Meet WCAG AA contrast ratio of 4.5:1 for normal text,Ensure all body text has at least 4.5:1 contrast against its background — use a contrast checker before shipping,"color: #1a1a1a; background: #ffffff; /* ratio 18.1:1 */",Use light gray text on white backgrounds that look clean in design tools but fail for real users,"color: #aaaaaa; background: #ffffff; /* ratio 2.3:1 — fails WCAG AA */",HIGH,WCAG 2.1 / MDN Accessibility
Accessibility,Never remove focus outlines,Keep visible focus indicators on all focusable elements — style them to match your brand if needed,"*:focus-visible { outline: 2px solid #005fcc; outline-offset: 3px; border-radius: 3px; }",Remove outlines globally to satisfy a designer who finds them ugly — this makes keyboard navigation invisible,"* { outline: none; }",HIGH,WCAG 2.1 / Nielsen Norman Group
Accessibility,Respect prefers-reduced-motion,Wrap all animations in a media query so users who need reduced motion get a static experience,"@media (prefers-reduced-motion: reduce) { *, *::before, *::after { animation-duration: 0.01ms !important; transition-duration: 0.01ms !important; } }",Run animations unconditionally — causes nausea and disorientation for users with vestibular disorders,".hero { animation: slideIn 1.2s ease; } /* no reduced-motion guard */",HIGH,WCAG 2.3 / MDN
Accessibility,Provide skip-to-content as first focusable element,Add a visually hidden skip link that becomes visible on focus — saves keyboard users from tabbing through the full nav on every page,"<a class=""skip-link"" href=""#main-content"">Skip to main content</a> /* CSS: .skip-link { position: absolute; transform: translateY(-100%); } .skip-link:focus { transform: translateY(0); } */",Force keyboard users to tab through the entire navigation bar on every single page load — common on nav-heavy sites,No skip link present,HIGH,WCAG 2.4.1 / WebAIM
Accessibility,Use semantic HTML before reaching for ARIA,Native elements like button nav main h1–h6 give you semantics keyboard support and screen reader behavior for free,"<button type=""button"" onclick=""openMenu()"">Menu</button>",Recreate native behavior with divs and spans — you will miss edge cases and break assistive technology,"<div role=""button"" tabindex=""0"" onclick=""openMenu()"" onkeydown=""openMenu()"">Menu</div>",HIGH,MDN / WHATWG
Forms,Always use a visible label — never placeholder-only,Every input needs a persistent visible label element — placeholders disappear on focus and have poor contrast,"<label for=""email"">Email address</label> <input id=""email"" type=""email"" autocomplete=""email"" />",Use placeholder text as the only label — users forget what the field is for after they start typing,"<input type=""email"" placeholder=""Email address"" />",HIGH,Nielsen Norman Group / Baymard Institute
Forms,Show inline validation errors directly below the field,Surface errors immediately beneath the failing field with an aria-describedby link so screen readers also get the message,"<input id=""email"" aria-describedby=""email-err"" aria-invalid=""true"" /> <span id=""email-err"" role=""alert"" class=""error"">Enter a valid email address</span>",Dump all errors in a single block at the top of the form — users must hunt to match each error to its field,"<div class=""error-summary""><p>Email is invalid</p><p>Password too short</p></div>",HIGH,Baymard Institute / Nielsen Norman Group
Forms,Validate on blur not only on submit,Trigger field-level validation when the user leaves each field so they get feedback before attempting to submit,"input.addEventListener('blur', (e) => { validate(e.target); });",Only validate on form submit — forces users to discover and fix multiple errors after the entire form is already filled out,"form.addEventListener('submit', (e) => { e.preventDefault(); validateAll(); });",MEDIUM,Nielsen Norman Group
Forms,Use the correct input type for mobile keyboards,Setting type correctly triggers the right mobile keyboard and enables browser autofill — no extra code required,"<input type=""email"" autocomplete=""email"" /> <input type=""tel"" inputmode=""numeric"" autocomplete=""tel"" /> <input type=""password"" autocomplete=""current-password"" />",Use type=text for everything — users on mobile get a QWERTY keyboard for a phone number field,"<input type=""text"" placeholder=""Phone number"" />",MEDIUM,MDN / Google Web Fundamentals
Forms,Confirm destructive actions before executing,Show a confirmation dialog before any action that cannot be undone — delete cancel subscription clear cart,"<dialog id=""confirm""> <p>Permanently delete this item?</p> <button onclick=""confirmDelete()"">Delete</button> <button onclick=""dialog.close()"">Cancel</button> </dialog>",Execute irreversible actions immediately on a single click with no warning or undo path,"item.addEventListener('click', () => api.delete(item.id));",HIGH,Nielsen Norman Group / Laws of UX
Navigation,Make the primary navigation sticky,Keep the nav accessible at all times using position sticky — users should never have to scroll back to the top to navigate,"nav { position: sticky; top: 0; z-index: 100; background: var(--surface); }",Let navigation scroll out of view on long pages — forces disorienting scroll-back behavior,"nav { position: relative; } /* scrolls away */",HIGH,Baymard Institute
Navigation,Highlight the active page in the nav,Use aria-current=page and a visual indicator so users always know where they are in the site,"<a href=""/pricing"" aria-current=""page"" class=""nav-active"">Pricing</a> /* .nav-active { font-weight: 500; border-bottom: 2px solid currentColor; } */",Style all nav items identically — Baymard found 91% of sites fail to show the user's current scope in navigation,"<a href=""/pricing"">Pricing</a>",HIGH,Baymard Institute 2024
Navigation,Write descriptive link text,Link text must describe the destination on its own — screen readers list all links out of context,"<a href=""/case-studies/acme"">Read the Acme Corp case study</a>",Use generic anchor text that communicates nothing without the surrounding sentence,"<a href=""/case-studies/acme"">Click here</a>",HIGH,WCAG 2.4.6 / Nielsen Norman Group
Navigation,Provide a working 404 page with navigation,A helpful 404 keeps users in your site — include nav a search bar and links to popular sections,"<main> <h1>Page not found</h1> <p>Here are some places to go:</p> <a href=""/"">Home</a> <a href=""/search"">Search</a> </main>",Serve a blank page or raw server error with no navigation — the user's only option is to leave,"<h1>404 Not Found</h1>",HIGH,Nielsen Norman Group
Animation,Keep UI transition durations between 150–300ms,Interactions should feel instant — micro-interactions in this range confirm actions without slowing the user down,".btn { transition: background-color 180ms ease, transform 180ms ease; } .modal { transition: opacity 250ms ease-in-out; }",Use 600–1000ms transitions on interactive elements — the interface feels sluggish and unresponsive,".btn { transition: background-color 800ms ease; }",HIGH,Material Design / Nielsen Norman Group
Animation,Animate only transform and opacity for performance,These two properties are handled by the GPU compositor and never trigger layout or paint — everything else does,"".card:hover { transform: translateY(-2px); opacity: 0.95; transition: transform 200ms ease, opacity 200ms ease; }"",Animate width height top left margin or background-size — each frame forces the browser to recalculate the full layout,".dropdown { transition: height 300ms ease; } /* triggers layout recalc every frame */",HIGH,Google Web Fundamentals / MDN
Performance,Serve images in modern formats with a fallback,AVIF saves 50% over JPEG — use picture with a JPEG fallback for browsers that don't support it yet,"<picture> <source srcset=""hero.avif"" type=""image/avif""> <source srcset=""hero.webp"" type=""image/webp""> <img src=""hero.jpg"" alt=""…"" width=""1200"" height=""630""> </picture>",Serve all images as uncompressed PNG or JPEG with no size optimization,"<img src=""hero.png"" />",HIGH,Google Web Fundamentals / web.dev
